congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
111,House,29519,22,3,IN,200,1,1,"SOUDER, Mark Edward",S001143,1950,2022,0.435,-0.011,-185.30169,0.777,734,84,,0.431,0.171
111,House,29914,22,9,IN,100,0,1,"HILL, Baron P.",H001030,1953,,-0.121,0.137,-393.32206,0.662,955,189,,-0.062,-0.031
111,House,20325,31,5,IA,200,0,1,"KING, Steve",K000362,1949,,0.613,0.171,-129.49601,0.87479,968,61,,0.666,0.329
111,House,20719,31,1,IA,100,0,1,"BRALEY, Bruce",B001259,1957,,-0.31,-0.205,-87.35178,0.912,944,27,,-0.399,-0.113
111,House,20720,31,2,IA,100,0,1,"LOEBSACK, Dave",L000565,1952,,-0.276,-0.027,-90.05994,0.91098,966,36,,-0.306,-0.166
111,House,29522,31,4,IA,200,0,1,"LATHAM, Thomas",L000111,1948,,0.302,0.308,-179.64721,0.83,966,69,,0.281,0.389
111,House,29721,31,3,IA,100,0,1,"BOSWELL, Leonard L.",B000652,1934,2018,-0.238,0.289,-94.15713,0.907,964,27,,-0.286,0.247
111,House,20915,32,2,KS,200,0,1,"JENKINS, Lynn",J000290,1963,,0.523,0.004,-189.42698,0.82537,987,67,,0.529,-0.301
111,House,29524,32,4,KS,200,0,1,"TIAHRT, Todd",T000260,1951,,0.449,0.341,-174.60369,0.823,897,74,,0.473,0.59
111,House,29722,32,1,KS,200,0,1,"MORAN, Jerry",M000934,1954,,0.414,0.219,-165.27799,0.83425,912,77,,0.521,-0.154
